,source,target
688,Real Estate and Rental and Leasing_FL,TRUMP VICTORY
689,Public Administration_FL,TRUMP VICTORY
690,DIRECTOR_FL,TRUMP VICTORY
691,RETIRED_FL,PLANNED PARENTHOOD MAINE ACTION FUND
692,"Professional, Scientific, and Technical Services_FL",PLANNED PARENTHOOD MAINE ACTION FUND
693,NOT EMPLOYED_FL,PLANNED PARENTHOOD MAINE ACTION FUND
694,RETIRED_FL,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
695,"Professional, Scientific, and Technical Services_FL",PLANNED PARENTHOOD ADVOCATES OF ARIZONA
696,NOT EMPLOYED_FL,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
697,RETIRED_FL,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
698,"Professional, Scientific, and Technical Services_FL",FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
699,NOT EMPLOYED_FL,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
700,Management of Companies and Enterprises_PA,BIDEN FOR PRESIDENT
701,Health Care and Social Assistance_PA,BIDEN FOR PRESIDENT
702,Educational Services_PA,BIDEN FOR PRESIDENT
703,"Professional, Scientific, and Technical Services_PA",BIDEN FOR PRESIDENT
704,RETIRED_PA,BIDEN FOR PRESIDENT
705,NOT EMPLOYED_PA,BIDEN FOR PRESIDENT
706,Finance and Insurance_PA,BIDEN FOR PRESIDENT
707,Public Administration_PA,BIDEN FOR PRESIDENT
708,Administrative and Support and Waste Management and Remediation Services_PA,BIDEN FOR PRESIDENT
709,Real Estate and Rental and Leasing_PA,BIDEN FOR PRESIDENT
710,Management of Companies and Enterprises_PA,BIDEN VICTORY FUND
711,Health Care and Social Assistance_PA,BIDEN VICTORY FUND
712,Educational Services_PA,BIDEN VICTORY FUND
713,"Professional, Scientific, and Technical Services_PA",BIDEN VICTORY FUND
714,RETIRED_PA,BIDEN VICTORY FUND
715,NOT EMPLOYED_PA,BIDEN VICTORY FUND
716,Finance and Insurance_PA,BIDEN VICTORY FUND
717,Public Administration_PA,BIDEN VICTORY FUND
718,Administrative and Support and Waste Management and Remediation Services_PA,BIDEN VICTORY FUND
719,Real Estate and Rental and Leasing_PA,BIDEN VICTORY FUND
720,Management of Companies and Enterprises_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
721,Health Care and Social Assistance_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
722,Educational Services_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
723,"Professional, Scientific, and Technical Services_PA",NRA INSTITUTE FOR LEGISLATIVE ACTION
724,RETIRED_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
725,Finance and Insurance_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
726,Public Administration_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
727,Administrative and Support and Waste Management and Remediation Services_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
728,Real Estate and Rental and Leasing_PA,NRA INSTITUTE FOR LEGISLATIVE ACTION
729,Management of Companies and Enterprises_PA,"MASTER PRINT, INC."
730,Health Care and Social Assistance_PA,"MASTER PRINT, INC."
731,Educational Services_PA,"MASTER PRINT, INC."
732,"Professional, Scientific, and Technical Services_PA","MASTER PRINT, INC."
733,RETIRED_PA,"MASTER PRINT, INC."
734,Finance and Insurance_PA,"MASTER PRINT, INC."
735,Public Administration_PA,"MASTER PRINT, INC."
736,Administrative and Support and Waste Management and Remediation Services_PA,"MASTER PRINT, INC."
737,Real Estate and Rental and Leasing_PA,"MASTER PRINT, INC."
738,Management of Companies and Enterprises_PA,UNITED STATES POSTAL SERVICE
739,Health Care and Social Assistance_PA,UNITED STATES POSTAL SERVICE
740,Educational Services_PA,UNITED STATES POSTAL SERVICE
741,"Professional, Scientific, and Technical Services_PA",UNITED STATES POSTAL SERVICE
742,RETIRED_PA,UNITED STATES POSTAL SERVICE
743,Finance and Insurance_PA,UNITED STATES POSTAL SERVICE
744,Public Administration_PA,UNITED STATES POSTAL SERVICE
745,Administrative and Support and Waste Management and Remediation Services_PA,UNITED STATES POSTAL SERVICE
746,Real Estate and Rental and Leasing_PA,UNITED STATES POSTAL SERVICE
747,Management of Companies and Enterprises_PA,DONALD J. TRUMP FOR PRESIDENT
748,Health Care and Social Assistance_PA,DONALD J. TRUMP FOR PRESIDENT
749,Educational Services_PA,DONALD J. TRUMP FOR PRESIDENT
750,"Professional, Scientific, and Technical Services_PA",DONALD J. TRUMP FOR PRESIDENT
751,RETIRED_PA,DONALD J. TRUMP FOR PRESIDENT
752,NOT EMPLOYED_PA,DONALD J. TRUMP FOR PRESIDENT
753,Finance and Insurance_PA,DONALD J. TRUMP FOR PRESIDENT
754,Public Administration_PA,DONALD J. TRUMP FOR PRESIDENT
755,Administrative and Support and Waste Management and Remediation Services_PA,DONALD J. TRUMP FOR PRESIDENT
756,Real Estate and Rental and Leasing_PA,DONALD J. TRUMP FOR PRESIDENT
757,Management of Companies and Enterprises_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
758,Health Care and Social Assistance_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
759,Educational Services_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
760,"Professional, Scientific, and Technical Services_PA",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
761,RETIRED_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
762,NOT EMPLOYED_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
763,Finance and Insurance_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
764,Public Administration_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
765,Administrative and Support and Waste Management and Remediation Services_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
766,Real Estate and Rental and Leasing_PA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
767,Management of Companies and Enterprises_PA,STAMPEDE AMERICA
768,Health Care and Social Assistance_PA,STAMPEDE AMERICA
769,Educational Services_PA,STAMPEDE AMERICA
770,"Professional, Scientific, and Technical Services_PA",STAMPEDE AMERICA
771,RETIRED_PA,STAMPEDE AMERICA
772,Finance and Insurance_PA,STAMPEDE AMERICA
773,Public Administration_PA,STAMPEDE AMERICA
774,Administrative and Support and Waste Management and Remediation Services_PA,STAMPEDE AMERICA
775,Real Estate and Rental and Leasing_PA,STAMPEDE AMERICA
776,Management of Companies and Enterprises_PA,"I360, LLC"
777,Health Care and Social Assistance_PA,"I360, LLC"
778,Educational Services_PA,"I360, LLC"
779,"Professional, Scientific, and Technical Services_PA","I360, LLC"
780,RETIRED_PA,"I360, LLC"
781,Finance and Insurance_PA,"I360, LLC"
782,Public Administration_PA,"I360, LLC"
783,Administrative and Support and Waste Management and Remediation Services_PA,"I360, LLC"
784,Real Estate and Rental and Leasing_PA,"I360, LLC"
785,Management of Companies and Enterprises_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
786,Health Care and Social Assistance_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
787,Educational Services_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
788,"Professional, Scientific, and Technical Services_PA",NATIONAL RIFLE ASSOCIATION OF AMERICA
789,RETIRED_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
790,Finance and Insurance_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
791,Public Administration_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
792,Administrative and Support and Waste Management and Remediation Services_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
793,Real Estate and Rental and Leasing_PA,NATIONAL RIFLE ASSOCIATION OF AMERICA
794,Management of Companies and Enterprises_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
795,Health Care and Social Assistance_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
796,Educational Services_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
797,"Professional, Scientific, and Technical Services_PA","DUSTBUSTERS SWEEPING SERVICE, INC."
798,RETIRED_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
799,Finance and Insurance_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
800,Public Administration_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
801,Administrative and Support and Waste Management and Remediation Services_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
802,Real Estate and Rental and Leasing_PA,"DUSTBUSTERS SWEEPING SERVICE, INC."
803,Management of Companies and Enterprises_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
804,Health Care and Social Assistance_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
805,Educational Services_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
806,"Professional, Scientific, and Technical Services_PA",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
807,RETIRED_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
808,Finance and Insurance_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
809,Public Administration_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
810,Administrative and Support and Waste Management and Remediation Services_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
811,Real Estate and Rental and Leasing_PA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
812,Management of Companies and Enterprises_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
813,Health Care and Social Assistance_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
814,Educational Services_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
815,"Professional, Scientific, and Technical Services_PA","EXECUTIVE EAGLES ADVERTISING, LLC"
816,RETIRED_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
817,Finance and Insurance_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
818,Public Administration_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
819,Administrative and Support and Waste Management and Remediation Services_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
820,Real Estate and Rental and Leasing_PA,"EXECUTIVE EAGLES ADVERTISING, LLC"
821,Management of Companies and Enterprises_PA,TRUMP VICTORY
822,Health Care and Social Assistance_PA,TRUMP VICTORY
823,"Professional, Scientific, and Technical Services_PA",TRUMP VICTORY
824,RETIRED_PA,TRUMP VICTORY
825,Finance and Insurance_PA,TRUMP VICTORY
826,Public Administration_PA,TRUMP VICTORY
827,Real Estate and Rental and Leasing_PA,TRUMP VICTORY
828,Management of Companies and Enterprises_OH,BIDEN FOR PRESIDENT
829,Health Care and Social Assistance_OH,BIDEN FOR PRESIDENT
830,Educational Services_OH,BIDEN FOR PRESIDENT
831,"Professional, Scientific, and Technical Services_OH",BIDEN FOR PRESIDENT
832,RETIRED_OH,BIDEN FOR PRESIDENT
833,NOT EMPLOYED_OH,BIDEN FOR PRESIDENT
834,Public Administration_OH,BIDEN FOR PRESIDENT
835,Administrative and Support and Waste Management and Remediation Services_OH,BIDEN FOR PRESIDENT
836,Real Estate and Rental and Leasing_OH,BIDEN FOR PRESIDENT
837,Transportation and Warehousing_OH,BIDEN FOR PRESIDENT
838,Management of Companies and Enterprises_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
839,Health Care and Social Assistance_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
840,Educational Services_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
841,"Professional, Scientific, and Technical Services_OH",NRA INSTITUTE FOR LEGISLATIVE ACTION
842,RETIRED_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
843,Public Administration_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
844,Administrative and Support and Waste Management and Remediation Services_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
845,Real Estate and Rental and Leasing_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
846,Transportation and Warehousing_OH,NRA INSTITUTE FOR LEGISLATIVE ACTION
847,Management of Companies and Enterprises_OH,"MASTER PRINT, INC."
848,Health Care and Social Assistance_OH,"MASTER PRINT, INC."
849,Educational Services_OH,"MASTER PRINT, INC."
850,"Professional, Scientific, and Technical Services_OH","MASTER PRINT, INC."
851,RETIRED_OH,"MASTER PRINT, INC."
852,Public Administration_OH,"MASTER PRINT, INC."
853,Administrative and Support and Waste Management and Remediation Services_OH,"MASTER PRINT, INC."
854,Real Estate and Rental and Leasing_OH,"MASTER PRINT, INC."
855,Transportation and Warehousing_OH,"MASTER PRINT, INC."
856,Management of Companies and Enterprises_OH,UNITED STATES POSTAL SERVICE
857,Health Care and Social Assistance_OH,UNITED STATES POSTAL SERVICE
858,Educational Services_OH,UNITED STATES POSTAL SERVICE
859,"Professional, Scientific, and Technical Services_OH",UNITED STATES POSTAL SERVICE
860,RETIRED_OH,UNITED STATES POSTAL SERVICE
861,Public Administration_OH,UNITED STATES POSTAL SERVICE
862,Administrative and Support and Waste Management and Remediation Services_OH,UNITED STATES POSTAL SERVICE
863,Real Estate and Rental and Leasing_OH,UNITED STATES POSTAL SERVICE
864,Transportation and Warehousing_OH,UNITED STATES POSTAL SERVICE
865,Management of Companies and Enterprises_OH,BIDEN VICTORY FUND
866,Health Care and Social Assistance_OH,BIDEN VICTORY FUND
867,Educational Services_OH,BIDEN VICTORY FUND
868,"Professional, Scientific, and Technical Services_OH",BIDEN VICTORY FUND
869,RETIRED_OH,BIDEN VICTORY FUND
870,NOT EMPLOYED_OH,BIDEN VICTORY FUND
871,Public Administration_OH,BIDEN VICTORY FUND
872,Administrative and Support and Waste Management and Remediation Services_OH,BIDEN VICTORY FUND
873,Real Estate and Rental and Leasing_OH,BIDEN VICTORY FUND
874,Transportation and Warehousing_OH,BIDEN VICTORY FUND
875,Management of Companies and Enterprises_OH,DONALD J. TRUMP FOR PRESIDENT
876,Health Care and Social Assistance_OH,DONALD J. TRUMP FOR PRESIDENT
877,Educational Services_OH,DONALD J. TRUMP FOR PRESIDENT
878,"Professional, Scientific, and Technical Services_OH",DONALD J. TRUMP FOR PRESIDENT
879,RETIRED_OH,DONALD J. TRUMP FOR PRESIDENT
880,NOT EMPLOYED_OH,DONALD J. TRUMP FOR PRESIDENT
881,Public Administration_OH,DONALD J. TRUMP FOR PRESIDENT
882,Administrative and Support and Waste Management and Remediation Services_OH,DONALD J. TRUMP FOR PRESIDENT
883,Real Estate and Rental and Leasing_OH,DONALD J. TRUMP FOR PRESIDENT
884,Transportation and Warehousing_OH,DONALD J. TRUMP FOR PRESIDENT
885,Management of Companies and Enterprises_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
886,Health Care and Social Assistance_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
887,Educational Services_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
888,"Professional, Scientific, and Technical Services_OH",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
889,RETIRED_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
890,NOT EMPLOYED_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
891,Public Administration_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
892,Administrative and Support and Waste Management and Remediation Services_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
893,Real Estate and Rental and Leasing_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
894,Transportation and Warehousing_OH,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
895,Management of Companies and Enterprises_OH,STAMPEDE AMERICA
896,Health Care and Social Assistance_OH,STAMPEDE AMERICA
897,Educational Services_OH,STAMPEDE AMERICA
898,"Professional, Scientific, and Technical Services_OH",STAMPEDE AMERICA
899,RETIRED_OH,STAMPEDE AMERICA
900,Public Administration_OH,STAMPEDE AMERICA
901,Administrative and Support and Waste Management and Remediation Services_OH,STAMPEDE AMERICA
902,Real Estate and Rental and Leasing_OH,STAMPEDE AMERICA
903,Transportation and Warehousing_OH,STAMPEDE AMERICA
904,Management of Companies and Enterprises_OH,"I360, LLC"
905,Health Care and Social Assistance_OH,"I360, LLC"
906,Educational Services_OH,"I360, LLC"
907,"Professional, Scientific, and Technical Services_OH","I360, LLC"
908,RETIRED_OH,"I360, LLC"
909,Public Administration_OH,"I360, LLC"
910,Administrative and Support and Waste Management and Remediation Services_OH,"I360, LLC"
911,Real Estate and Rental and Leasing_OH,"I360, LLC"
912,Transportation and Warehousing_OH,"I360, LLC"
913,Management of Companies and Enterprises_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
914,Health Care and Social Assistance_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
915,Educational Services_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
916,"Professional, Scientific, and Technical Services_OH",NATIONAL RIFLE ASSOCIATION OF AMERICA
917,RETIRED_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
918,Public Administration_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
919,Administrative and Support and Waste Management and Remediation Services_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
920,Real Estate and Rental and Leasing_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
921,Transportation and Warehousing_OH,NATIONAL RIFLE ASSOCIATION OF AMERICA
922,Management of Companies and Enterprises_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
923,Health Care and Social Assistance_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
924,Educational Services_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
925,"Professional, Scientific, and Technical Services_OH","DUSTBUSTERS SWEEPING SERVICE, INC."
926,RETIRED_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
927,Public Administration_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
928,Administrative and Support and Waste Management and Remediation Services_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
929,Real Estate and Rental and Leasing_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
930,Transportation and Warehousing_OH,"DUSTBUSTERS SWEEPING SERVICE, INC."
931,Management of Companies and Enterprises_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
932,Health Care and Social Assistance_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
933,Educational Services_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
934,"Professional, Scientific, and Technical Services_OH",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
935,RETIRED_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
936,Public Administration_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
937,Administrative and Support and Waste Management and Remediation Services_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
938,Real Estate and Rental and Leasing_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
939,Transportation and Warehousing_OH,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
940,Management of Companies and Enterprises_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
941,Health Care and Social Assistance_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
942,Educational Services_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
943,"Professional, Scientific, and Technical Services_OH","EXECUTIVE EAGLES ADVERTISING, LLC"
944,RETIRED_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
945,Public Administration_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
946,Administrative and Support and Waste Management and Remediation Services_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
947,Real Estate and Rental and Leasing_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
948,Transportation and Warehousing_OH,"EXECUTIVE EAGLES ADVERTISING, LLC"
949,Management of Companies and Enterprises_OH,TRUMP VICTORY
950,Health Care and Social Assistance_OH,TRUMP VICTORY
951,"Professional, Scientific, and Technical Services_OH",TRUMP VICTORY
952,RETIRED_OH,TRUMP VICTORY
953,Public Administration_OH,TRUMP VICTORY
954,Health Care and Social Assistance_OH,PLANNED PARENTHOOD MAINE ACTION FUND
955,"Professional, Scientific, and Technical Services_OH",PLANNED PARENTHOOD MAINE ACTION FUND
956,RETIRED_OH,PLANNED PARENTHOOD MAINE ACTION FUND
957,Public Administration_OH,PLANNED PARENTHOOD MAINE ACTION FUND
958,Health Care and Social Assistance_OH,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
959,"Professional, Scientific, and Technical Services_OH",PLANNED PARENTHOOD ADVOCATES OF ARIZONA
960,RETIRED_OH,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
961,Public Administration_OH,PLANNED PARENTHOOD ADVOCATES OF ARIZONA
962,Health Care and Social Assistance_OH,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
963,"Professional, Scientific, and Technical Services_OH",FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
964,RETIRED_OH,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
965,Public Administration_OH,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES
966,Management of Companies and Enterprises_GA,BIDEN FOR PRESIDENT
967,Health Care and Social Assistance_GA,BIDEN FOR PRESIDENT
968,Educational Services_GA,BIDEN FOR PRESIDENT
969,RETIRED_GA,BIDEN FOR PRESIDENT
970,"Professional, Scientific, and Technical Services_GA",BIDEN FOR PRESIDENT
971,NOT EMPLOYED_GA,BIDEN FOR PRESIDENT
972,Public Administration_GA,BIDEN FOR PRESIDENT
973,Retail Trade_GA,BIDEN FOR PRESIDENT
974,Real Estate and Rental and Leasing_GA,BIDEN FOR PRESIDENT
975,Administrative and Support and Waste Management and Remediation Services_GA,BIDEN FOR PRESIDENT
976,Management of Companies and Enterprises_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
977,Health Care and Social Assistance_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
978,RETIRED_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
979,"Professional, Scientific, and Technical Services_GA",NRA INSTITUTE FOR LEGISLATIVE ACTION
980,Public Administration_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
981,Real Estate and Rental and Leasing_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
982,Administrative and Support and Waste Management and Remediation Services_GA,NRA INSTITUTE FOR LEGISLATIVE ACTION
983,Management of Companies and Enterprises_GA,"MASTER PRINT, INC."
984,Health Care and Social Assistance_GA,"MASTER PRINT, INC."
985,RETIRED_GA,"MASTER PRINT, INC."
986,"Professional, Scientific, and Technical Services_GA","MASTER PRINT, INC."
987,Public Administration_GA,"MASTER PRINT, INC."
988,Real Estate and Rental and Leasing_GA,"MASTER PRINT, INC."
989,Administrative and Support and Waste Management and Remediation Services_GA,"MASTER PRINT, INC."
990,Management of Companies and Enterprises_GA,UNITED STATES POSTAL SERVICE
991,Health Care and Social Assistance_GA,UNITED STATES POSTAL SERVICE
992,RETIRED_GA,UNITED STATES POSTAL SERVICE
993,"Professional, Scientific, and Technical Services_GA",UNITED STATES POSTAL SERVICE
994,Public Administration_GA,UNITED STATES POSTAL SERVICE
995,Real Estate and Rental and Leasing_GA,UNITED STATES POSTAL SERVICE
996,Administrative and Support and Waste Management and Remediation Services_GA,UNITED STATES POSTAL SERVICE
997,Management of Companies and Enterprises_GA,BIDEN VICTORY FUND
998,Health Care and Social Assistance_GA,BIDEN VICTORY FUND
999,Educational Services_GA,BIDEN VICTORY FUND
1000,RETIRED_GA,BIDEN VICTORY FUND
1001,"Professional, Scientific, and Technical Services_GA",BIDEN VICTORY FUND
1002,NOT EMPLOYED_GA,BIDEN VICTORY FUND
1003,Public Administration_GA,BIDEN VICTORY FUND
1004,Real Estate and Rental and Leasing_GA,BIDEN VICTORY FUND
1005,Administrative and Support and Waste Management and Remediation Services_GA,BIDEN VICTORY FUND
1006,Management of Companies and Enterprises_GA,DONALD J. TRUMP FOR PRESIDENT
1007,Health Care and Social Assistance_GA,DONALD J. TRUMP FOR PRESIDENT
1008,Educational Services_GA,DONALD J. TRUMP FOR PRESIDENT
1009,RETIRED_GA,DONALD J. TRUMP FOR PRESIDENT
1010,"Professional, Scientific, and Technical Services_GA",DONALD J. TRUMP FOR PRESIDENT
1011,NOT EMPLOYED_GA,DONALD J. TRUMP FOR PRESIDENT
1012,Public Administration_GA,DONALD J. TRUMP FOR PRESIDENT
1013,Retail Trade_GA,DONALD J. TRUMP FOR PRESIDENT
1014,Real Estate and Rental and Leasing_GA,DONALD J. TRUMP FOR PRESIDENT
1015,Administrative and Support and Waste Management and Remediation Services_GA,DONALD J. TRUMP FOR PRESIDENT
1016,Management of Companies and Enterprises_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1017,Health Care and Social Assistance_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1018,Educational Services_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1019,RETIRED_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1020,"Professional, Scientific, and Technical Services_GA",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1021,NOT EMPLOYED_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1022,Public Administration_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1023,Retail Trade_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1024,Real Estate and Rental and Leasing_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1025,Administrative and Support and Waste Management and Remediation Services_GA,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
1026,Management of Companies and Enterprises_GA,STAMPEDE AMERICA
1027,Health Care and Social Assistance_GA,STAMPEDE AMERICA
1028,RETIRED_GA,STAMPEDE AMERICA
1029,"Professional, Scientific, and Technical Services_GA",STAMPEDE AMERICA
1030,Public Administration_GA,STAMPEDE AMERICA
1031,Real Estate and Rental and Leasing_GA,STAMPEDE AMERICA
1032,Administrative and Support and Waste Management and Remediation Services_GA,STAMPEDE AMERICA
1033,Management of Companies and Enterprises_GA,"I360, LLC"
1034,Health Care and Social Assistance_GA,"I360, LLC"
1035,RETIRED_GA,"I360, LLC"
1036,"Professional, Scientific, and Technical Services_GA","I360, LLC"
1037,Public Administration_GA,"I360, LLC"
1038,Real Estate and Rental and Leasing_GA,"I360, LLC"
1039,Administrative and Support and Waste Management and Remediation Services_GA,"I360, LLC"
1040,Management of Companies and Enterprises_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1041,Health Care and Social Assistance_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1042,RETIRED_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1043,"Professional, Scientific, and Technical Services_GA",NATIONAL RIFLE ASSOCIATION OF AMERICA
1044,Public Administration_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1045,Real Estate and Rental and Leasing_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1046,Administrative and Support and Waste Management and Remediation Services_GA,NATIONAL RIFLE ASSOCIATION OF AMERICA
1047,Management of Companies and Enterprises_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1048,Health Care and Social Assistance_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1049,RETIRED_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1050,"Professional, Scientific, and Technical Services_GA","DUSTBUSTERS SWEEPING SERVICE, INC."
1051,Public Administration_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1052,Real Estate and Rental and Leasing_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1053,Administrative and Support and Waste Management and Remediation Services_GA,"DUSTBUSTERS SWEEPING SERVICE, INC."
1054,Management of Companies and Enterprises_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1055,Health Care and Social Assistance_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
1056,RETIRED_GA,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
